original_name	detection_name	coarse_name	training_eligible	mapping_confidence	merge_basis	aliases
ophioplinthaca	brittle star	brittle star	yes	high	existing visually distinct group retained	Ophioplinthaca
ophiuroidea	brittle star	brittle star	yes	high	existing visually distinct group retained	Ophiuroidea
bryozoa	bryozoan	bryozoan	yes	high	existing visually distinct group retained	Bryozoa
smithsonius dorothea	bryozoan	bryozoan	yes	high	existing visually distinct group retained	Smithsonius dorothea
blacktail butterflyfish	butterflyfish	fish	yes	high	visual-name rule	Blacktail Butterflyfish;BlacktailButterflyfish
bluecheek butterflyfish	butterflyfish	fish	yes	high	visual-name rule	Bluecheek Butterflyfish;BluecheekButterflyfish
chaetodon capistratus	butterflyfish	fish	yes	high	visual-name rule	Chaetodon capistratus
chaetodon sedentarius	butterflyfish	fish	yes	high	visual-name rule	Chaetodon sedentarius
copperband butterflyfish	butterflyfish	fish	yes	high	visual-name rule	Copperband Butterflyfish;CopperbandButterflyfish
eritrean butterflyfish	butterflyfish	fish	yes	high	visual-name rule	Eritrean Butterflyfish;EritreanButterflyfish
heniochus varius	butterflyfish	fish	yes	high	visual-name rule	Heniochus Varius;HeniochusVarius
mirror butterflyfish	butterflyfish	fish	yes	high	visual-name rule	Mirror Butterflyfish;MirrorButterflyfish
pyramid butterflyfish	butterflyfish	fish	yes	high	visual-name rule	Pyramid Butterflyfish;PyramidButterflyfish
raccoon butterflyfish	butterflyfish	fish	yes	high	visual-name rule	raccoon butterflyfish;Raccoon Butterflyfish;RaccoonButterflyfish
saddle butterflyfish	butterflyfish	fish	yes	high	visual-name rule	Saddle Butterflyfish;SaddleButterflyfish
threadfin butterflyfish	butterflyfish	fish	yes	high	visual-name rule	threadfin butterflyfish;Threadfin Butterflyfish;ThreadfinButterflyfish
banggai cardinalfish	cardinalfish	fish	yes	high	visual-name rule	Banggai cardinalfish
cardinalfish	cardinalfish	fish	yes	high	visual-name rule	cardinalfish;Cardinalfish hiding beneath a rocky coral
asbestopluma	carnivorous sponge	sponge	yes	high	cladorhizid carnivorous-sponge group	Asbestopluma
asbestopluma monticola	carnivorous sponge	sponge	yes	high	cladorhizid carnivorous-sponge group	Asbestopluma monticola
asbestopluma rickettsi	carnivorous sponge	sponge	yes	high	cladorhizid carnivorous-sponge group	Asbestopluma rickettsi
axoniderma kensmithi	carnivorous sponge	sponge	yes	high	cladorhizid carnivorous-sponge group	Axoniderma kensmithi
cladorhizidae	carnivorous sponge	sponge	yes	high	cladorhizid carnivorous-sponge group	Cladorhizidae
opsariichthys bidens	carp and minnow	fish	yes	high	visual-name rule	opsariichthys bidens
white koi carp	carp and minnow	fish	yes	high	visual-name rule	white koi carp
apristurus brunneus	catshark	shark	yes	high	catshark taxonomy	Apristurus brunneus
cephalurus cephalus	catshark	shark	yes	high	catshark taxonomy	Cephalurus cephalus
parmaturus xaniurus	catshark	shark	yes	high	catshark taxonomy	Parmaturus xaniurus
striped catshark	catshark	shark	yes	high	catshark taxonomy	Striped catshark
chimaera	chimaera	chimaera	yes	high	existing visually distinct group retained	chimaera
deep sea chimaera	chimaera	chimaera	yes	high	existing visually distinct group retained	deep-sea chimaera
harriotta raleighana	chimaera	chimaera	yes	high	existing visually distinct group retained	Harriotta raleighana
hydrolagus cf. trolli	chimaera	chimaera	yes	high	existing visually distinct group retained	Hydrolagus cf. trolli
hydrolagus colliei	chimaera	chimaera	yes	high	existing visually distinct group retained	Hydrolagus colliei
hydrolagus melanophasma	chimaera	chimaera	yes	high	existing visually distinct group retained	Hydrolagus melanophasma
long nosed chimaera	chimaera	chimaera	yes	high	existing visually distinct group retained	long-nosed chimaera
chiton	chiton	chiton	yes	high	existing visually distinct group retained	chiton
neoloricata	chiton	chiton	yes	high	existing visually distinct group retained	Neoloricata
cnidaria	cnidarian	cnidarian	yes	high	existing visually distinct group retained	Cnidaria
bathocyroe fosteri	comb jellyfish	comb jellyfish	yes	high	existing visually distinct group retained	Bathocyroe fosteri
beroe	comb jellyfish	comb jellyfish	yes	high	existing visually distinct group retained	Beroe
beroe abyssicola	comb jellyfish	comb jellyfish	yes	high	existing visually distinct group retained	Beroe abyssicola
beroe cucumis	comb jellyfish	comb jellyfish	yes	high	existing visually distinct group retained	Beroe cucumis
beroe forskalii	comb jellyfish	comb jellyfish	yes	high	existing visually distinct group retained	Beroe forskalii
beroe gracilis	comb jellyfish	comb jellyfish	yes	high	existing visually distinct group retained	Beroe gracilis
comb jellyfish	comb jellyfish	comb jellyfish	yes	high	existing visually distinct group retained	translucent comb jellyfish drifts
ctenophora	comb jellyfish	comb jellyfish	yes	high	existing visually distinct group retained	Ctenophora
cydippida	comb jellyfish	comb jellyfish	yes	high	existing visually distinct group retained	Cydippida
hormiphora californensis	comb jellyfish	comb jellyfish	yes	high	existing visually distinct group retained	Hormiphora californensis
kiyohimea usagi	comb jellyfish	comb jellyfish	yes	high	existing visually distinct group retained	Kiyohimea usagi
lampocteis cruentiventer	comb jellyfish	comb jellyfish	yes	high	existing visually distinct group retained	Lampocteis cruentiventer
lobata	comb jellyfish	comb jellyfish	yes	high	existing visually distinct group retained	Lobata
tjalfiella	comb jellyfish	comb jellyfish	yes	high	existing visually distinct group retained	Tjalfiella
tjalfiellidae	comb jellyfish	comb jellyfish	yes	high	existing visually distinct group retained	Tjalfiellidae
copepoda	copepod	copepod	yes	high	existing visually distinct group retained	Copepoda
anthozoa	coral (unspecified)	coral	review	low	source label does not identify coral morphology	Anthozoa
brain coral	coral (unspecified)	coral	review	low	source label does not identify coral morphology	Brain Coral;BrainCoral
coral	coral (unspecified)	coral	review	low	source label does not identify coral morphology	coral
coral garden sea	coral (unspecified)	coral	review	low	source label does not identify coral morphology	CoralGardenSea
coral hind	coral (unspecified)	coral	review	low	source label does not identify coral morphology	Coral Hind;CoralHind
elkhorn coral	coral (unspecified)	coral	review	low	source label does not identify coral morphology	Elkhorn Coral;ElkhornCoral
fan coral	coral (unspecified)	coral	review	low	source label does not identify coral morphology	Fan Coral;FanCoral
hexacorallia	coral (unspecified)	coral	review	low	source label does not identify coral morphology	Hexacorallia
keratoisidinae	coral (unspecified)	coral	review	low	source label does not identify coral morphology	Keratoisidinae
octocorallia	coral (unspecified)	coral	review	low	source label does not identify coral morphology	Octocorallia
paragorgia sp. 1	coral (unspecified)	coral	review	low	source label does not identify coral morphology	Paragorgia sp. 1
stolonifera	coral (unspecified)	coral	review	low	source label does not identify coral morphology	Stolonifera
corallimorpharia	corallimorph	coral	yes	high	corallimorph taxonomy	Corallimorpharia
corallimorphus	corallimorph	coral	yes	high	corallimorph taxonomy	Corallimorphus
corallimorphus pilatus	corallimorph	coral	yes	high	corallimorph taxonomy	Corallimorphus pilatus
brachyura	crab	crab	yes	high	existing visually distinct group retained	Brachyura
cancer pagurus	crab	crab	yes	high	existing visually distinct group retained	Cancer Pagurus;CancerPagurus
chionoecetes tanneri	crab	crab	yes	high	existing visually distinct group retained	Chionoecetes tanneri
chorilia	crab	crab	yes	high	existing visually distinct group retained	Chorilia
chorilia longipes	crab	crab	yes	high	existing visually distinct group retained	Chorilia longipes
crab	crab	crab	yes	high	existing visually distinct group retained	blue crab;blue crab navigating a shallow;blue crab walking;brown crab;Calico Box Crab;Calico Crab;Caribbean reef crab;Chinese mitten crab;crab;crab eating little fish;decorator crab blending into;ghost crab;giant hermit crab;Giant Hermit Crab sits;hermit crab;Hermit Crab;hermit crab carrying a borrowed shell;HermitCrab;Japanese spider crab navigating an aquarium;King Crab;KingCrab;panther crab;porcelain crab;red claw crab exploring a freshwater;Red King Crab;Sally Lightfoot crab;Spanner Crab;SpannerCrab;Swimming Crab;SwimmingCrab;velvet crab
lithodes couesi	crab	crab	yes	high	existing visually distinct group retained	Lithodes couesi
majidae	crab	crab	yes	high	existing visually distinct group retained	Majidae
moloha faxoni	crab	crab	yes	high	existing visually distinct group retained	Moloha faxoni
stenocionops spinimanus	crab	crab	yes	high	existing visually distinct group retained	Stenocionops spinimanus
crayfish	crayfish	crayfish	yes	high	existing visually distinct group retained	crayfish;CrayFish
red swamp crayfish navigates the sandy	crayfish	crayfish	yes	high	existing visually distinct group retained	red swamp crayfish navigates the sandy
vibrant blue crayfish	crayfish	crayfish	yes	high	existing visually distinct group retained	vibrant blue crayfish;vibrant blue crayfish walks
vividly colored blue crayfish	crayfish	crayfish	yes	high	existing visually distinct group retained	vividly colored blue crayfish
antedonidae	crinoid	crinoid	yes	high	existing visually distinct group retained	Antedonidae
antedonoidea sp. 1	crinoid	crinoid	yes	high	existing visually distinct group retained	Antedonoidea sp. 1
comatulida	crinoid	crinoid	yes	high	existing visually distinct group retained	Comatulida
crinoid	crinoid	crinoid	yes	high	existing visually distinct group retained	Crinoid
crinoidea	crinoid	crinoid	yes	high	existing visually distinct group retained	Crinoidea
fariometra parvula	crinoid	crinoid	yes	high	existing visually distinct group retained	Fariometra parvula
feather star	crinoid	crinoid	yes	high	existing visually distinct group retained	feather star
florometra serratissima	crinoid	crinoid	yes	high	existing visually distinct group retained	Florometra serratissima
hyocrinidae	crinoid	crinoid	yes	high	existing visually distinct group retained	Hyocrinidae
psathyrometra fragilis	crinoid	crinoid	yes	high	existing visually distinct group retained	Psathyrometra fragilis
alligator	crocodilian	crocodilian	yes	high	existing visually distinct group retained	alligator
american crocodile	crocodilian	crocodilian	yes	high	existing visually distinct group retained	American crocodile
crocodile	crocodilian	crocodilian	yes	high	existing visually distinct group retained	crocodile
gharial	crocodilian	crocodilian	yes	high	existing visually distinct group retained	gharial
large saltwater crocodile	crocodilian	crocodilian	yes	high	existing visually distinct group retained	large saltwater crocodile
saltwater crocodile	crocodilian	crocodilian	yes	high	existing visually distinct group retained	saltwater crocodile walking
ancylomenes pedersoni	crustacean	crustacean	yes	high	existing visually distinct group retained	ancylomenes pedersoni
anomura	crustacean	crustacean	yes	high	existing visually distinct group retained	Anomura
crustacea	crustacean	crustacean	yes	high	existing visually distinct group retained	Crustacea
decapoda	crustacean	crustacean	yes	high	existing visually distinct group retained	Decapoda
lithodidae	crustacean	crustacean	yes	high	existing visually distinct group retained	Lithodidae
neolithodes diomedeae	crustacean	crustacean	yes	high	existing visually distinct group retained	Neolithodes diomedeae
paralomis	crustacean	crustacean	yes	high	existing visually distinct group retained	Paralomis
paralomis multispina	crustacean	crustacean	yes	high	existing visually distinct group retained	Paralomis multispina
paralomis verrilli	crustacean	crustacean	yes	high	existing visually distinct group retained	Paralomis verrilli
plesionika	crustacean	crustacean	yes	high	existing visually distinct group retained	Plesionika
cherublemma emmelas	cusk-eel	fish	yes	high	taxonomy family: Ophidiidae	Cherublemma emmelas
cusk eel	cusk-eel	fish	yes	high	visual-name rule	cusk eel undulates
eretmichthys pinnatus	cusk-eel	fish	yes	high	taxonomy family: Ophidiidae	Eretmichthys pinnatus
cuttlefish	cuttlefish	cuttlefish	yes	high	existing visually distinct group retained	Australian giant cuttlefish displaying vibrant patterns;broadclub cuttlefish;broadclub cuttlefish displaying;Broadclub Cuttlefish displaying;broadclub cuttlefish hovers;common cuttlefish;common cuttlefish drifts;common cuttlefish hovers;cuttlefish;Cuttlefish;cuttlefish displaying striking camouflage patterns as;cuttlefish displaying vibrant colors and patterns;cuttlefish hovers;cuttlefish hovers gracefully;flamboyant cuttlefish;flamboyant cuttlefish displaying vibrant colors while;giant australian cuttlefish plays;giant cuttle;giant cuttlefish;giant cuttlefish displaying intricate patterns;giant cuttlefish displaying rich colors as;giant cuttlefish displaying striking white lines;giant cuttlefish displaying vibrant colors;giant cuttlefish displays;giant cuttlefish displays vibrant colors and;GiantCuttlefish;large Australian giant cuttlefish;pharaoh cuttlefish;Pharaoh cuttlefish;pharaoh cuttlefish hovers;sepia;well-camouflaged broadclub cuttlefish blending into the
amphiprion kirschi	damselfish	fish	yes	high	visual-name rule	amphiprion kirschi
blacksmith chromis	damselfish	fish	yes	high	visual-name rule	Blacksmith Chromis
chromis	damselfish	fish	yes	high	visual-name rule	Chromis
chromis acares	damselfish	fish	yes	high	visual-name rule	chromis acares
chromis dimidiata	damselfish	fish	yes	high	visual-name rule	Chromis Dimidiata;ChromisDimidiata
clark's anemonefish	damselfish	fish	yes	high	visual-name rule	Clark's anemonefish;Clark’s anemonefish;Clark's anemonefish nestles;Clark’s anemonefish nestles
clownfish	damselfish	fish	yes	high	visual-name rule	black clownfish hides;Cinnamon Clownfish;CinnamonClownfish;clownfish;Ocellaris Clownfish;OcellarisClownfish;Orange Skunk Clownfish;OrangeSkunkClownfish;Pink skunk clownfish;Red Sea Clownfish;RedSeaClownfish;tomato clownfish;vibrant clownfish
dusky damselfish	damselfish	fish	yes	high	visual-name rule	dusky damselfish
maldives damselfish	damselfish	fish	yes	high	visual-name rule	Maldives Damselfish;MaldivesDamselfish
pink anemonefish	damselfish	fish	yes	high	visual-name rule	Pink Anemonefish;PinkAnemonefish
pomacentridae	damselfish	fish	yes	high	taxonomy family: Pomacentridae	Pomacentridae
pomacentrus sulfureus	damselfish	fish	yes	high	visual-name rule	Pomacentrus Sulfureus;PomacentrusSulfureus
demospongiae	demosponge	sponge	yes	high	demosponge taxonomy	Demospongiae
mycale	demosponge	sponge	yes	high	demosponge taxonomy	Mycale
thenea muricata	demosponge	sponge	yes	high	demosponge taxonomy	Thenea muricata
atlantic spotted dolphin	dolphin	dolphin	yes	high	existing visually distinct group retained	Atlantic spotted dolphin
bottlenose dolphin	dolphin	dolphin	yes	high	existing visually distinct group retained	bottlenose dolphin;Bottlenose dolphin;bottlenose dolphins
cartoon animated dolphin	dolphin	dolphin	yes	high	existing visually distinct group retained	cartoon animated dolphin
cartoon dolphin	dolphin	dolphin	yes	high	existing visually distinct group retained	cartoon dolphin
common dolphin	dolphin	dolphin	yes	high	existing visually distinct group retained	common dolphin
dolphin	dolphin	dolphin	yes	high	existing visually distinct group retained	dolphin;Dolphin
spinner dolphin	dolphin	dolphin	yes	high	existing visually distinct group retained	spinner dolphin
pareques umbrosus	drum and croaker	fish	yes	high	taxonomy family: Sciaenidae	Pareques umbrosus
dugong	dugong	dugong	yes	high	existing visually distinct group retained	dugong;Dugong
eagle ray	eagle ray	ray	yes	high	distinct eagle-ray body plan	eagle ray gracefully
spotted eagle ray	eagle ray	ray	yes	high	distinct eagle-ray body plan	spotted eagle ray;spotted eagle ray gracefully;Spotted eagle ray gracefully
echinoderm	echinoderm	echinoderm	yes	high	existing visually distinct group retained	echinoderm
eel	eel	eel	yes	high	existing visually distinct group retained	conger eel;eel;European conger eel hovers just;European eel;European eel slithers;FightingEels;giant moray eel;giant moray eel emerges from;giant moray eel emerges from a;giant moray eel emerging from a;giant moray eel hides within a;giant moray eel peeks out from;green moray eel emerges from a;GreenMoreyEel;gulper eel;Highfin Snake Eel partially buried;honeycomb moray eel;honeycomb moray eel peeking out from;honeycomb moray eel peeks out from;honeycomb moray eel weaving;moray eel;Moray Eel;moray eel emerges from a crevice;moray eel peeks out from a;moray eel weaves;moray eels;MorayEel;pale moray eel peeks out from;slender conger eel;spotted garden eel partially emerges from;tiger snake eel
gymnothorax moringa	eel	eel	yes	high	existing visually distinct group retained	Gymnothorax moringa
lycenchelys	eel	eel	yes	high	existing visually distinct group retained	Lycenchelys
lycenchelys crotalinus	eel	eel	yes	high	existing visually distinct group retained	Lycenchelys crotalinus
lycodapus fierasfer	eel	eel	yes	high	existing visually distinct group retained	Lycodapus fierasfer
lycodes cortezianus	eel	eel	yes	high	existing visually distinct group retained	Lycodes cortezianus
lycodes diapterus	eel	eel	yes	high	existing visually distinct group retained	Lycodes diapterus
nettastoma parviceps	eel	eel	yes	high	existing visually distinct group retained	Nettastoma parviceps
ophichthus puncticeps	eel	eel	yes	high	existing visually distinct group retained	Ophichthus puncticeps
ophidiidae	eel	eel	yes	high	existing visually distinct group retained	Ophidiidae
pachycara bulbiceps	eel	eel	yes	high	existing visually distinct group retained	Pachycara bulbiceps
spectrunculus grandis	eel	eel	yes	high	existing visually distinct group retained	Spectrunculus grandis
zoarcidae	eel	eel	yes	high	existing visually distinct group retained	Zoarcidae
electric ray	electric ray	ray	yes	high	electric-ray taxonomy and body plan	electric ray;Electric Ray;ElectricRay
pacific electric ray	electric ray	ray	yes	high	electric-ray taxonomy and body plan	Pacific electric ray
panther electric ray	electric ray	ray	yes	high	electric-ray taxonomy and body plan	panther electric ray
tetronarce californica	electric ray	ray	yes	high	electric-ray taxonomy and body plan	Tetronarce californica
angler	exclude or review	other or unclear	no	low	non-specific or ambiguous source label	angler
animalia	exclude or review	other or unclear	no	low	non-specific or ambiguous source label	Animalia
character	exclude or review	other or unclear	no	low	non-specific or ambiguous source label	character
chordata	exclude or review	other or unclear	no	low	non-specific or ambiguous source label	Chordata
dancing	exclude or review	other or unclear	no	low	non-specific or ambiguous source label	dancing
deep ocean lost world	exclude or review	other or unclear	no	low	non-specific or ambiguous source label	DeepOceanLostWorld
defense	exclude or review	other or unclear	no	low	non-specific or ambiguous source label	DefenseInTheSea
fight to death	exclude or review	other or unclear	no	low	non-specific or ambiguous source label	FightToDeath
humpbacked	exclude or review	other or unclear	no	low	non-specific or ambiguous source label	humpbacked
large	exclude or review	other or unclear	no	low	non-specific or ambiguous source label	large
little monster	exclude or review	other or unclear	no	low	non-specific or ambiguous source label	LittleMonster
long	exclude or review	other or unclear	no	low	non-specific or ambiguous source label	long
marine organism	exclude or review	other or unclear	no	low	non-specific or ambiguous source label	marine organism
mucky secrets	exclude or review	other or unclear	no	low	non-specific or ambiguous source label	MuckySecrets
object	exclude or review	other or unclear	no	low	non-specific or ambiguous source label	object
passage	exclude or review	other or unclear	no	low	non-specific or ambiguous source label	ThePassage
performing	exclude or review	other or unclear	no	low	non-specific or ambiguous source label	performing
skagerrak	exclude or review	other or unclear	no	low	non-specific or ambiguous source label	Skagerrak
sofia rocks	exclude or review	other or unclear	no	low	non-specific or ambiguous source label	SofiaRocks
swallow larvae	exclude or review	other or unclear	no	low	non-specific or ambiguous source label	swallow larvae
swimming	exclude or review	other or unclear	no	low	non-specific or ambiguous source label	swimming
bristle tail filefish	filefish	fish	yes	high	visual-name rule	bristle-tail filefish blends into the sandy
scrawled filefish	filefish	fish	yes	high	visual-name rule	scrawled filefish
actinopteri	fish (unspecified)	fish	review	low	source label lacks a reliable finer visual/taxonomic group	Actinopteri
actinopterygii	fish (unspecified)	fish	review	low	source label lacks a reliable finer visual/taxonomic group	Actinopterygii
african tigerfish	fish (unspecified)	fish	review	low	source label lacks a reliable finer visual/taxonomic group	african tigerfish
alligator gar	fish (unspecified)	fish	review	low	source label lacks a reliable finer visual/taxonomic group	alligator gar
atlantic cornetfish	fish (unspecified)	fish	review	low	source label lacks a reliable finer visual/taxonomic group	atlantic cornetfish
atlantic spadefish	fish (unspecified)	fish	review	low	source label lacks a reliable finer visual/taxonomic group	Atlantic Spadefish;AtlanticSpadefish
baldchin groper	fish (unspecified)	fish	review	low	source label lacks a reliable finer visual/taxonomic group	baldchin groper
bright orange midas cichlid	fish (unspecified)	fish	review	low	source label lacks a reliable finer visual/taxonomic group	bright orange midas cichlid
brilliantly colored mandarin dragonet	fish (unspecified)	fish	review	low	source label lacks a reliable finer visual/taxonomic group	brilliantly colored mandarin dragonet
california sheephead	fish (unspecified)	fish	review	low	source label lacks a reliable finer visual/taxonomic group	California sheephead
camouflaged bearded spiny devilfish	fish (unspecified)	fish	review	low	source label lacks a reliable finer visual/taxonomic group	camouflaged bearded spiny devilfish
catfish	fish (unspecified)	fish	review	low	source label lacks a reliable finer visual/taxonomic group	catfish;electric catfish;estuary catfish;glass catfish;Goliath Catfish;Gulper Catfish;large redtail catfish;sea catfish;spotted electric catfish;Wels Catfish
cornetfish	fish (unspecified)	fish	review	low	source label lacks a reliable finer visual/taxonomic group	cornetfish
coryphaenoides acrolepis filifer complex	fish (unspecified)	fish	review	low	source label lacks a reliable finer visual/taxonomic group	Coryphaenoides acrolepis-filifer complex
coryphaenoides armatus yaquinae complex	fish (unspecified)	fish	review	low	source label lacks a reliable finer visual/taxonomic group	Coryphaenoides armatus-yaquinae complex
crocodilefish	fish (unspecified)	fish	review	low	source label lacks a reliable finer visual/taxonomic group	well-camouflaged crocodilefish
east star zebrafish	fish (unspecified)	fish	review	low	source label lacks a reliable finer visual/taxonomic group	east star zebrafish
fisherman	fish (unspecified)	fish	review	low	source label lacks a reliable finer visual/taxonomic group	Fisherman
fishing	fish (unspecified)	fish	review	low	source label lacks a reliable finer visual/taxonomic group	fishing
fishing adventure	fish (unspecified)	fish	review	low	source label lacks a reliable finer visual/taxonomic group	FishingAdventure
fluke fishing	fish (unspecified)	fish	review	low	source label lacks a reliable finer visual/taxonomic group	FlukeFishing
flying gurnard	fish (unspecified)	fish	review	low	source label lacks a reliable finer visual/taxonomic group	flying gurnard
foxface rabbitfish	fish (unspecified)	fish	review	low	source label lacks a reliable finer visual/taxonomic group	foxface rabbitfish
garpike	fish (unspecified)	fish	review	low	source label lacks a reliable finer visual/taxonomic group	garpike
golden dorado	fish (unspecified)	fish	review	low	source label lacks a reliable finer visual/taxonomic group	golden dorado
goldfish	fish (unspecified)	fish	review	low	source label lacks a reliable finer visual/taxonomic group	Comet Goldfish;goldfish;purple oranda goldfish
graysby	fish (unspecified)	fish	review	low	source label lacks a reliable finer visual/taxonomic group	Graysby
grubfish	fish (unspecified)	fish	review	low	source label lacks a reliable finer visual/taxonomic group	grubfish
grubfish lay motionless	fish (unspecified)	fish	review	low	source label lacks a reliable finer visual/taxonomic group	grubfish lay motionless
java rabbitfish	fish (unspecified)	fish	review	low	source label lacks a reliable finer visual/taxonomic group	Java rabbitfish
